scene,slug,shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,7,32.167,48.125,00:00:32.167,00:00:48.125,15.958,8.15
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,8,48.125,51.458,00:00:48.125,00:00:51.458,3.333,37.20
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,9,51.458,61.250,00:00:51.458,00:01:01.250,9.792,32.24
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,10,61.250,61.917,00:01:01.250,00:01:01.917,0.667,12.89
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,11,61.917,77.667,00:01:01.917,00:01:17.667,15.750,10.26
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,12,77.667,81.875,00:01:17.667,00:01:21.875,4.208,8.76
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,13,81.875,82.833,00:01:21.875,00:01:22.833,0.958,9.63
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,14,82.833,84.708,00:01:22.833,00:01:24.708,1.875,10.80
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,15,84.708,88.583,00:01:24.708,00:01:28.583,3.875,11.83
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,16,88.583,90.958,00:01:28.583,00:01:30.958,2.375,13.61
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,17,90.958,91.625,00:01:30.958,00:01:31.625,0.667,13.21
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,18,91.625,130.542,00:01:31.625,00:02:10.542,38.917,13.22
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,19,130.542,136.250,00:02:10.542,00:02:16.250,5.708,34.68
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,20,136.250,140.167,00:02:16.250,00:02:20.167,3.917,30.73
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,21,140.167,141.792,00:02:20.167,00:02:21.792,1.625,16.10
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,22,141.792,143.542,00:02:21.792,00:02:23.542,1.750,10.01
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,23,143.542,144.708,00:02:23.542,00:02:24.708,1.167,9.75
